0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:33 +0100] "GET /FXCjeu/images/imgTests/10.jpg HTTP/1.1" 200 138327
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:33 +0100] "GET /FXCjeu/js/move-top.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:33 +0100] "GET /FXCjeu/js/easing.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:33 +0100] "GET /FXCjeu/js/classie.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:33 +0100] "GET /FXCjeu/js/uisearch.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:33 +0100] "GET /FXCjeu/js/classie.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:33 +0100] "GET /FXCjeu/images/pattern.jpg HTTP/1.1" 200 12755
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:33 +0100] "GET /FXCjeu/fonts/roboto/Roboto-Regular.ttf HTTP/1.1" 200 162876
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:33 +0100] "GET /FXCjeu/fonts/OpenSans-Regular.ttf HTTP/1.1" 200 217360
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:33 +0100] "GET /FXCjeu/js/uisearch.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:33 +0100] "GET /favicon.ico HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:35 +0100] "GET /FXCjeu/accueil.jsp HTTP/1.1" 200 6334
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:35 +0100] "GET /FXCjeu/js/classie.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:35 +0100] "GET /FXCjeu/js/uisearch.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:35 +0100] "GET /FXCjeu/js/move-top.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:35 +0100] "GET /FXCjeu/js/easing.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:35 +0100] "GET /FXCjeu/js/easing.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:35 +0100] "GET /FXCjeu/js/classie.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Jan/2017:16:04:35 +0100] "GET /FXCjeu/js/uisearch.js HTTP/1.1" 404 794
